run_id,backend,architecture,model_key,display_name,step,seconds,tflops_per_device,tokens_per_device,total_weights,loss,lm_loss,perplexity,moe_lb_loss
dense_qwen_0_6b_cpu,cpu,dense,qwen3_0_6b,Qwen3 0.6B base,0,6.305,0.018,5.075,32.0,218.438,218.438,inf,
dense_qwen_0_6b_cpu,cpu,dense,qwen3_0_6b,Qwen3 0.6B base,1,1.177,0.098,27.189,32.0,218.438,218.438,inf,
dense_qwen_0_6b_cpu,cpu,dense,qwen3_0_6b,Qwen3 0.6B base,2,6.968,0.016,4.592,32.0,212.287,212.287,inf,
dense_qwen_0_6b_cpu,cpu,dense,qwen3_0_6b,Qwen3 0.6B base,3,7.147,0.016,4.477,32.0,189.235,189.235,inf,
dense_qwen_0_6b_cpu,cpu,dense,qwen3_0_6b,Qwen3 0.6B base,4,7.348,0.016,4.355,32.0,134.999,134.999,inf,
dense_qwen_0_6b_cpu,cpu,dense,qwen3_0_6b,Qwen3 0.6B base,5,7.017,0.016,4.561,32.0,99.348,99.348,inf,
dense_qwen_0_6b_cpu,cpu,dense,qwen3_0_6b,Qwen3 0.6B base,6,7.421,0.015,4.312,32.0,72.027,72.027,1.9086809773346653e+31,
dense_qwen_0_6b_cpu,cpu,dense,qwen3_0_6b,Qwen3 0.6B base,7,6.978,0.016,4.586,32.0,47.359,47.359,3.6961781013643526e+20,
dense_qwen_0_6b_cpu,cpu,dense,qwen3_0_6b,Qwen3 0.6B base,8,6.862,0.017,4.663,32.0,24.482,24.482,42891980800.0,
dense_qwen_0_6b_cpu,cpu,dense,qwen3_0_6b,Qwen3 0.6B base,9,6.983,0.016,4.582,32.0,10.242,10.242,28058.244,
dense_qwen_0_6b_cpu,cpu,dense,qwen3_0_6b,Qwen3 0.6B base,10,7.461,0.015,4.289,32.0,3.375,3.375,29.226,
dense_qwen_0_6b_cpu,cpu,dense,qwen3_0_6b,Qwen3 0.6B base,11,7.099,0.016,4.508,32.0,0.03,0.03,1.03,
